iter	Passed	Remaining
0	231	92503
1	320	63783
2	397	52608
3	479	47456
4	557	44038
5	653	42932
6	777	43628
7	887	43498
8	1022	44437
9	1117	43578
10	1198	42390
11	1277	41292
12	1353	40301
13	1432	39488
14	1507	38698
15	1582	37976
16	1660	37414
17	1793	38065
18	1956	39228
19	2079	39510
20	2229	40245
21	2386	41000
22	2485	40739
23	2586	40520
24	2683	40252
25	2797	40246
26	2889	39920
27	3034	40311
28	3139	40165
29	3329	41060
30	3501	41679
31	3723	42823
32	4275	47552
33	5684	61187
34	7116	74219
35	7452	75348
36	7721	75752
37	7988	76105
38	8107	75045
39	8212	73915
40	8318	72838
41	8437	71921
42	8569	71147
43	8727	70610
44	8862	69914
45	9030	69497
46	9189	69021
47	9353	68589
48	9626	68955
49	9991	69938
50	10294	70448
51	10488	70195
52	10595	69369
53	10682	68447
54	10763	67516
55	10847	66631
56	10967	65997
57	11070	65280
58	11157	64485
59	11241	63701
60	11354	63102
61	11463	62493
62	11551	61791
63	11636	61090
64	11713	60369
65	11786	59646
66	11872	59006
67	11952	58354
68	12039	57754
69	12161	57333
70	12426	57581
71	12555	57198
72	12675	56781
73	12773	56270
74	12892	55868
75	13058	55671
76	13218	55447
77	13336	55054
78	13418	54524
79	13518	54072
80	13603	53574
81	13682	53062
82	13757	52541
83	13837	52055
84	13961	51738
85	14036	51248
86	14113	50775
87	14195	50330
88	14266	49852
89	14352	49435
90	14423	48977
91	14496	48530
92	14569	48094
93	14660	47724
94	14749	47354
95	14831	46965
96	14976	46781
97	15063	46419
98	15150	46064
99	15230	45691
100	15309	45322
101	15389	44961
102	15466	44596
103	15550	44259
104	15625	43899
105	15702	43552
106	15784	43222
107	15923	43051
108	16041	42827
109	16118	42493
110	16192	42157
111	16269	41835
112	16336	41492
113	16407	41162
114	16478	40838
115	16547	40511
116	16628	40220
117	16708	39929
118	16804	39681
119	16928	39499
120	17025	39257
121	17100	38965
122	17172	38673
123	17248	38391
124	17325	38115
125	17400	37839
126	17474	37564
127	17548	37290
128	17624	37024
129	17700	36763
130	17777	36504
131	17877	36296
132	17964	36064
133	18063	35856
134	18170	35668
135	18255	35436
136	18353	35233
137	18460	35048
138	18582	34892
139	18692	34714
140	18789	34513
141	18875	34294
142	18964	34082
143	19077	33915
144	19197	33760
145	19285	33550
146	19368	33335
147	19570	33322
148	19793	33344
149	19901	33169
150	20004	32988
151	20118	32825
152	20224	32650
153	20297	32423
154	20370	32199
155	20442	31973
156	20516	31754
157	20610	31567
158	20681	31347
159	20748	31123
160	20829	30920
161	20918	30732
162	21023	30568
163	21119	30390
164	21189	30178
165	21267	29979
166	21361	29804
167	21477	29659
168	21574	29489
169	21694	29350
170	21775	29161
171	21863	28981
172	21963	28819
173	22038	28624
174	22130	28453
175	22208	28265
176	22293	28087
177	22381	27914
178	22470	27742
179	22537	27545
180	22622	27372
181	22722	27216
182	22843	27087
183	22928	26916
184	23004	26735
185	23084	26560
186	23167	26388
187	23250	26218
188	23330	26045
189	23410	25875
190	23493	25707
191	23573	25538
192	23673	25390
193	23808	25280
194	23889	25114
195	23958	24936
196	24017	24749
197	24080	24567
198	24151	24394
199	24225	24225
200	24304	24062
201	24378	23895
202	24447	23725
203	24517	23555
204	24586	23387
205	24660	23223
206	24742	23068
207	24866	22953
208	24958	22809
209	25063	22676
210	25137	22516
211	25215	22360
212	25287	22201
213	25359	22041
214	25421	21874
215	25489	21713
216	25573	21566
217	25641	21407
218	25711	21249
219	25799	21108
220	25872	20955
221	25939	20798
222	26036	20665
223	26115	20519
224	26189	20369
225	26269	20224
226	26356	20086
227	26427	19936
228	26497	19786
229	26572	19640
230	26646	19494
231	26717	19347
232	26798	19207
233	26866	19059
